장비분류(중분류),장비분류(소분류),장비명(영문),모델명,제작국가,제작사,도입일자,유휴불용,이용료(원/시간),기관명,기관유형
성형/가공장비,표면가공기,Ion Milling System,IB-09020CP,일본,Jeol,2013-01-15,활용,27000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,푸리에변환적외선분광기,FT-IR,Vertex 80v,독일,Bruker,2007-12-20,불용,20000,금오공과대학교 공동실험실습관,국공립대학(4년제)
현미경,주사전자현미경,Field Emission Scanning Electron Microscope,MAIA 3,체코,"TESCAN, sro",2017-09-21,활용,59000,금오공과대학교 공동실험실습관,국공립대학(4년제)
현미경,주사전자현미경,FESEM,JSM-6701F,일본,Jeol,2009-06-26,불용,53000,금오공과대학교 공동실험실습관,국공립대학(4년제)
현미경,주사전자현미경,FESEM,JSM-6500F,일본,Jeol,2004-01-12,활용,53000,금오공과대학교 공동실험실습관,국공립대학(4년제)
현미경,주사전자현미경,SEM,JSM-6380,일본,Jeol,2005-09-05,활용,35000,금오공과대학교 공동실험실습관,국공립대학(4년제)
현미경,주사탐침현미경,SPM(AFM),XE-100,대한민국,㈜파크시스템스,2008-12-23,활용,52000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,핵자기공명분광기,NMR,AVANCE III 400,독일,Bruker,2007-12-20,활용,27000,금오공과대학교 공동실험실습관,국공립대학(4년제)
현미경,투과전자현미경,TEM,JEM-2100,일본,Jeol,2007-03-22,활용,50000,금오공과대학교 공동실험실습관,국공립대학(4년제)
입자분석장비,입도분석기,Particle Size Analyzer,Mastersizer 3000,영국,Malvern Instruments,2018-09-13,활용,31000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,자외/가시광/적외선분광광도계,UV-VIS-NIR Spectrophotometer,UV-3600Plus,일본,Shimadzu,2018-09-17,활용,21000,금오공과대학교 공동실험실습관,국공립대학(4년제)
재료물성시험장비,만능시험기,Universal testing machine,5969,미국,Instron Corporation,2018-09-14,활용,25000,금오공과대학교 공동실험실습관,국공립대학(4년제)
표면특성측정장비,표면장력/접촉각측정장비,Contact Angle Measuring System,DSA100,독일,KRUSS,2018-09-18,활용,31000,금오공과대학교 공동실험실습관,국공립대학(4년제)
입자분석장비,입도분석기,zeta-potential-Particle Size Analyzer,ELSZ-2000,일본,Otsuka Electronics,2018-09-07,활용,17000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,X-선회절분석기,X-ray Diffractometer (XRD),SmartLab,일본,Rigaku,2019-09-19,활용,55000,금오공과대학교 공동실험실습관,국공립대학(4년제)
길이/위치/자세측정장비,위치/자세측정장비,Thickness measurement,AlphaStep D-500,미국,Kla-tencor,2019-07-09,활용,23000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,광전자분광기,XPS,PHI VersaProbe II,일본,Ulvac-phi,2020-12-28,활용,96000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,유도결합플라즈마원자방출분광기,Inductively Coupled Plasma Optical Emission Spectrometer,iCAP PRO,미국,Thermo Fisher Scientific,2020-10-08,활용,18000,금오공과대학교 공동실험실습관,국공립대학(4년제)
현미경,주사전자현미경,Ultra High resolution Focused ion Beam,Helios 5 UX,미국,FEI,2022-12-30,활용,200000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,X-선회절분석기,X ray Diffractometer,SmartLab,일본,Rigaku,2022-11-11,활용,55000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분리분석장비,원소분석기,Automatic Elemental Analyzer,FlashSmart,미국,Thermo Fisher Scientific,2022-10-20,활용,50000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,푸리에변환적외선분광기,infrared spectrometer,INVENIO-X,독일,Bruker,2021-10-06,활용,20000,금오공과대학교 공동실험실습관,국공립대학(4년제)
현미경,투과전자현미경,Atomic Resolution Analytical Electron Microscope,JEM-ARM200F,일본,Jeol,2021-12-21,활용,200000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분석장비,스펙트럼분석기,Spectrum Analyzer,E4445A,미국,Agilent Technologies,2005-06-24,활용,45000,영남대학교 산학협력단,사립대학(4년제)
성형/가공장비,프레스장비,1000Ton Mechanical Try-out Press and NC Feeder,DE2P-1000,대한민국,동신프레스,2009-07-08,활용,100000,대구기계부품연구원,기타
성형/가공장비,프레스장비,2000Ton Mechanical Try-out Press and NC Feeder,DE4P-2000,대한민국,심팩(SIMPAC),2009-08-25,활용,160000,대구기계부품연구원,기타
전력발생/저장장비,교류/직류전원공급장치,Programmable Power Supply,ES6000W,일본,Nf Corporation,2007-03-28,활용,29000,대구기계부품연구원,기타
길이/위치/자세측정장비,위치/자세측정장비,3D Coordinate Measuring Machine,DEA GLOBAL 7.10.7,스웨덴,hexagon,2011-03-25,활용,32000,대구기계부품연구원,기타
길이/위치/자세측정장비,위치/자세측정장비,3D Coordinate Measuring Machine,PRISMO 10,독일,Carl Zeiss,2003-05-23,활용,80000,대구기계부품연구원,기타
길이/위치/자세측정장비,위치/자세측정장비,3D Coordinate Measuring Machine,CONTURA 7 VAST XT,독일,Carl Zeiss,2004-06-29,활용,50000,대구기계부품연구원,기타
성형/가공장비,프레스장비,500Ton Mechanical Try-out Press,DE2P-500,대한민국,동신프레스,2009-07-08,활용,50000,대구기계부품연구원,기타
장비소프트웨어,달리 분류되지 않는 장비소프트웨어,NVH Analysis System,Test.Lab,벨기에,Lms International,2008-11-28,활용,60000,대구기계부품연구원,기타
분광분석장비,X-선회절분석기,X-ray Diffraction Analysis System,X`Pert PRO MRD,네덜란드,Panalytical,2004-08-17,활용,45000,대구기계부품연구원,기타
재료물성시험장비,만능시험기,High temperature abrasion tester,모델명 없음,대한민국,(주)알앤비,2009-09-04,활용,43000,대구기계부품연구원,기타
재료물성시험장비,만능시험기,High temperature Plate & Draw Bead Tester,모델명 없음,대한민국,(주)알앤비,2009-09-04,활용,20000,대구기계부품연구원,기타
재료물성시험장비,만능시험기,High temperature Sheet Forming System,모델명 없음,대한민국,(주)알앤비,2009-11-26,활용,44000,대구기계부품연구원,기타
절삭장비,선반장비,Tool life evaluation machine CNC Turning machine,GT2100B,대한민국,두산공작기계,2017-12-26,활용,35000,대구기계부품연구원,기타
이미지분석장비,달리 분류되지 않는 이미지분석장비,Tool Geometry Measurement & Analysis Equipment,Infinite Focus G5 with AdvancedReal3D,오스트리아,Alicona,2017-12-18,활용,50000,대구기계부품연구원,기타
광파발생/측정장비,간섭계,Optical 3D Profiling System,Wyko NT8000,미국,Veeco,2004-09-30,활용,15000,대구기계부품연구원,기타
전력발생/저장장비,교류전원공급장치,AC Power Source Simulator,ES12000W,일본,Nf Corporation,2008-12-10,활용,75000,대구기계부품연구원,기타
반도체장비,프로브스테이션,AC Load Tester,PCZ1000A,일본,Kikusui,2010-02-01,활용,41000,대구기계부품연구원,기타
현미경,광학현미경,Optical Microscope,"Zeiss Model 1140224, AXIOVERT 200 MAT",독일,Carl Zeiss,2003-12-01,활용,55000,대구기계부품연구원,기타
길이/위치/자세측정장비,위치/자세측정장비,3D Coordinate Measuring Machine for DIE or JIG,Alpha Image 25.50.15,스웨덴,hexagon,2009-09-11,활용,80000,대구기계부품연구원,기타
카메라/영상처리장비,스캐너,Portable Laser Scanning System,FARO Fusion Arm Systems 12748ㅡ004,미국,Faro,2012-12-20,활용,37000,대구기계부품연구원,기타
장비소프트웨어,계측/분석소프트웨어,flexible multibody dynamic analysis s/w,recurdyn7.3,대한민국,펑션베이㈜,2009-12-22,활용,35000,대구기계부품연구원,기타
재료물성시험장비,만능피로시험기,Dynamic Material Testing System,Landmark,미국,Mts,2011-11-07,활용,60000,대구기계부품연구원,기타
광파발생/측정장비,간섭계,Laser Interferometer,5529B,미국,Agilent Technologies,2008-12-29,활용,50000,대구기계부품연구원,기타
재료물성시험장비,마모시험기,Tribometer,CETRUMT,미국,Cetr,2012-07-24,불용,37000,대구기계부품연구원,기타
현미경,투과전자현미경,Tool measurement vision system for robot prototype manufacturing,VHX-1000E,일본,Keyence,2012-11-28,활용,30000,대구기계부품연구원,기타
성형/가공장비,3D프린터,Rapid Tooling system,sPro 60 SLS,미국,3d Systems,2011-01-18,불용,40000,대구기계부품연구원,기타
성형/가공장비,3D프린터,Robot Parts 3D Printing System,projetHD5000,미국,3d Systems,2013-01-15,불용,45000,대구기계부품연구원,기타
입자분석장비,입도분석기,Micro-bubble size measuring system for prevention of disasters,QICPIC,독일,Sympatec,2012-12-18,활용,38000,대구기계부품연구원,기타
재료물성시험장비,경도시험기,Micro-vickers Hardness Testing Instrument,Tukon 2100 series,독일,Wolpert,2003-06-18,활용,50000,대구기계부품연구원,기타
재료물성시험장비,만능시험기,Universal Testing Machine(for Plastics),5569,미국,Instron Corporation,2003-10-19,활용,50000,대구기계부품연구원,기타
재료물성시험장비,만능시험기,Universal Testing Machine,5592,미국,Instron Corporation,2003-06-20,활용,25000,대구기계부품연구원,기타
힘/토오크/압력/진공측정장비,동력계,Motor Dynamometer System,550190,스위스,Kistler,2013-02-20,활용,150000,대구기계부품연구원,기타
재료물성시험장비,물성분석기,Scratch Tester,REVETEST,스위스,CSM Instruments,2003-09-14,불용,34000,대구기계부품연구원,기타
측정시험장비,전지/충방전측정시험장비,Battery Test System,61612,대만,Chroma ATE,2012-05-10,불용,36000,대구기계부품연구원,기타
절삭장비,복합장비,Hybrid robot precise manufacturing system,VARIAXIS 500-5X MK3,일본,Yamazaki Mazak,2011-11-03,활용,100000,대구기계부품연구원,기타
재료물성시험장비,부식시험기,Corrosion Cycling Tester,kkwt1000,독일,Weiss Technik,2012-09-06,불용,38000,대구기계부품연구원,기타
재료물성시험장비,진동내구시험장비,Combined Environmental Vibration Test System,J250/SA6M,일본,Imv Corporation,2009-04-01,활용,70000,대구기계부품연구원,기타
길이/위치/자세측정장비,달리 분류되지 않는 길이/위치/자세측정장비,Ball Bar System,QC,영국,Renishaw,2008-12-29,활용,30000,대구기계부품연구원,기타
재료물성시험장비,분진시험기,Dust Chamber,ST-1000U,독일,Weiss Technik,2012-09-25,불용,37000,대구기계부품연구원,기타
길이/위치/자세측정장비,위치/자세측정장비,None Contact 3-coordinate Measuring Machine,VideoCheckIP 600,독일,Werth Messtechnik,2004-09-30,활용,80000,대구기계부품연구원,기타
물리적측정장비,달리 분류되지 않는 물리적측정장비,Optical Emission Spectrometer,ARL 3460,스위스,Thermo ARL,2003-11-22,활용,40000,대구기계부품연구원,기타
장비소프트웨어,설계/생산소프트웨어,DEFORM,DEFORM 2D/3D,미국,Sftc,2009-02-13,활용,50000,대구기계부품연구원,기타
장비소프트웨어,연구장비기반소프트웨어,PAM-STAMP,PAM-STAMP 2G,프랑스,Esi,2009-01-09,활용,50000,대구기계부품연구원,기타
절삭장비,밀링장비,Horizontal machining center,HM800,대한민국,두산인프라코어,2010-11-18,활용,70000,대구기계부품연구원,기타
열유체장비,전기/소결로,Spark Plasma Sintering System,SPS-3.20MK-V,일본,Sps Syntex,2007-04-26,활용,125000,대구기계부품연구원,기타
카메라/영상처리장비,기타특수카메라,motion capture system for disaster prevention robot,MX-T20S,영국,Vicon,2013-01-24,활용,32000,대구기계부품연구원,기타
기계가공/시험장비,달리 분류되지 않는 기계가공/시험장비,Control simulator system for safety disaster prevention robot,Virtuose DELMIA V5,프랑스,Dassault Systemes,2012-03-12,불용,60000,대구기계부품연구원,기타
온도/열/습도/수분측정장비,열분석기,Thermal Analysis System,"Pyris Diamond TG/DTA, Pyris Diamond TGA",미국,Perkin Elmer,2004-06-25,활용,55000,대구기계부품연구원,기타
재료물성시험장비,열충격시험기,Thermal Shock Test Chamber,TS 60,독일,Weiss Technik,2012-10-05,활용,18000,대구기계부품연구원,기타
재료물성시험장비,열충격시험기,Thermal Shock Chamber,CST 360/3T3,이탈리아,Angelantoni Industrie,2003-12-20,불용,340000,대구기계부품연구원,기타
