학교구분,학교명,지역,설립구분,주소,우편번호,홈페이지,대표번호,총장명,RnE협업실적
대학,포항공과대학교,경북,사립,경상북도 포항시 남구 청암로 77,37673,www.postech.ac.kr,054-279-0114,김성근,18
대학,한동대학교,경북,사립,경상북도 포항시 북구 흥해읍 한동로 558,37554,www.handong.edu,054-260-1111,최도성,0
대학,김천대학교,경북,사립,경상북도 김천시 대학로 214,39528,www.gimcheon.ac.kr,054-420-4000,윤옥현,0
대학,경운대학교,경북,사립,경상북도 구미시 산동읍 강동로 730,39160,www.ikw.ac.kr,054-479-1114,박근,0
대학,대구교육대학교,대구,국립,대구광역시 남구 중앙대로 219,42411,www.dnue.ac.kr,053-620-1202,배상식,0
대학,대구사이버대학교,경북,사립,경상북도 경산시 진량읍 대구대로 201,38453,www.dcu.ac.kr,053-859-7500,이근용,0
대학,영남사이버대학교,경북,사립,"경상북도 경산시 남천면 남천로 780-9 (협석리, 영남외국어대학) ",38695,www.yncu.ac.kr,053-819-5306,임승환,0
대학,대구경북과학기술원,대구,특별법법인,대구광역시 달성군 현풍읍 테크노중앙대로 333,42988,www.dgist.ac.kr,053-785-0114,이건우,15
전문대학,가톨릭상지대학교,경북,사립,경상북도 안동시 상지길 45,36686,www.csj.ac.kr,054-851-3000,차호철,0
전문대학,호산대학교,경북,사립,경상북도 경산시 하양읍 대경로105길 19,38428,www.hosan.ac.kr,053-850-8000,김재현,0
전문대학,영남외국어대학,경북,사립,경상북도 경산시 남천면 남천로 780-9,38695,www.yflc.ac.kr,053-810-0100,장영아,0
전문대학,계명문화대학교,대구,사립,대구광역시 달서구 달서대로 675,42601,www.kmcu.ac.kr,053-589-7744,박승호,0
전문대학,구미대학교,경북,사립,경상북도 구미시 야은로 37,39213,www.gumi.ac.kr,054-440-1114,이승환(직무대행),0
전문대학,경북보건대학교,경북,사립,경상북도 김천시 대학로 168,39525,www.gch.ac.kr,054-420-9200,이은직,0
전문대학,대경대학교,경북,사립,경상북도 경산시 자인면 단북1길 65,38547,www.tk.ac.kr,053-850-1000,이채영,0
전문대학,대구공업대학교,대구,사립,대구광역시 달서구 송현로 205,42734,www.ttc.ac.kr,053-560-3700,이별나,0
전문대학,대구보건대학교,대구,사립,대구광역시 북구 영송로 15,41453,www.dhc.ac.kr,053-320-1300,남성희,0
전문대학,대구과학대학교,대구,사립,대구광역시 북구 영송로 47,41453,www.tsu.ac.kr,053-320-1114,박지은,0
전문대학,경북과학대학교,경북,사립,경상북도 칠곡군 기산면 지산로 634,39913,www.kbsu.ac.kr,054-979-9001,정은재,15
전문대학,문경대학교,경북,사립,경상북도 문경시 호계면 대학길 161,36930,www.mkc.ac.kr,054-559-1114,신영국,0
전문대학,영남이공대학교,대구,사립,대구광역시 남구 현충로 170,42415,www.ync.ac.kr,053-650-9114,이재용,0
전문대학,영진전문대학교,대구,사립,대구광역시 북구 복현로 35,41527,www.yju.ac.kr,053-940-5132,최재영,0
전문대학,선린대학교,경북,사립,경상북도 포항시 북구 흥해읍 초곡길36번길 30,37560,www.sunlin.ac.kr,054-260-5000,곽진환,0
전문대학,영진사이버대학교,대구,사립,대구광역시 북구 복현로 35,41527,www.ycc.ac.kr,053-940-5500,조방제,0
전문대학,한국복지사이버대학교,경북,사립,경상북도 경산시 남천면 남천로 746-10,38695,www.corea.ac.kr,1644-9775,박기륜,0
전문대학,한국폴리텍 VI 대학 대구캠퍼스,대구,사립,대구광역시 서구 국채보상로43길 15,41765,daegu.kopo.ac.kr,053-560-3131,노진호(직무대행),0
전문대학,한국폴리텍 VI 대학 구미캠퍼스,경북,사립,경상북도 구미시 수출대로3길 84,39257,kopo.ac.kr/gumi,054-461-5241,최재윤,0
전문대학,한국폴리텍 VI 대학 영남융합기술캠퍼스,대구,사립,대구광역시 동구 팔공로 222,41027,kopo.ac.kr/yct,053-980-1100,배한조,0
전문대학,경북전문대학교,경북,사립,경상북도 영주시 대학로 77,36133,www.kbc.ac.kr,054-630-5114,최재혁,0
전문대학,성운대학교,경북,사립,경상북도 영천시 신녕면 대학길 105,38801,www.sw.ac.kr,054-330-8800,윤지현,0
전문대학,수성대학교,대구,사립,대구광역시 수성구 달구벌대로528길 15,42078,www.sc.ac.kr,053-749-7000,김선순,0
전문대학,안동과학대학교,경북,사립,경상북도 안동시 서후면 서선길 189,36616,www.asc.ac.kr,054-851-3500,권상용,0
전문대학,포항대학교,경북,사립,경상북도 포항시 북구 흥해읍 포항대학로 7,37555,www.pohang.ac.kr,054-251-8000,하민영,0
전문대학,한국폴리텍 VI 대학 영주캠퍼스,경북,사립,경상북도 영주시 가흥로 2,36142,www.kopo.ac.kr/yeongju,054-639-4218,곽영순,0
전문대학,포스코기술대학,경북,사립,"경상북도 포항시 남구 지곡로 120 (지곡동, 포스코인재개발원) ",37666,ptu.posco.co.kr:4443,054-240-5800,박성은,0
전문대학,한국폴리텍 특성화대학 로봇캠퍼스,경북,사립,경상북도 영천시 로봇캠퍼스로 1,38839,www.kopo.ac.kr/robot/index.do, 054-706-1000,최무영,0
