사업년도,과제명,연구책임자명,주관기관명,학문단,총연구기간,보고서구분
2023,비침습적 약물의존 생체지표 발굴을 위한 다중-오믹스-네트워크 분석연구,장원준,계명대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,이소시트르산 탈수소효소 2에 의한 갈색지방세포의 발생 및 분화 조절 기전 규명,이재호,계명대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,사용성평가 검증기반 다감각 피드백제어 가상현실재활훈련시스템 개발,조상우,계명대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,IoT 지원 물리적 인터넷 허브를 위한 분산 지능형 포그 컴퓨팅 구조,tran dang hoa,금오공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,영상 기반 3차원 골절 모델링을 통한 골절 수술 내비게이션,하호건,대구경북과학기술원,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,In Vitro 혈맥 시스템을 통한 맥상(脈象) 및 병증(病證) 표준화 연구,송지청,대구한의대학교,의약학단,2017-06-01 ~ 2023-05-31,결과보고서
2023,초저전력 개인맞춤형 체내 글루코스 검출 시스템에 관한 연구,이경수,포항공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,파킨슨병 치료용 성장인자 단백질의 전달을 위한 양친매성 고분자 코아세르베이트 기반 혈관-뇌-장벽 투과 나노운반체의 개발 및 신경세포에서 운반체의 실시간 이동경로 추적,DE RANJIT,포항공과대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,딥러닝학습기반 제약 클러스터링,이혜선,포항공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,연속단계 효소화학적 반응을 위한 다중모드 나노바이오-하이브리드-촉매물질 개발 연구,KUMARI NITEE,포항공과대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,공간정보를 활용한 식물 다양성 조사 방법 최적화,조기환,영남대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,글로벌 금융시스템에서 네트워크 속성이 자본유출입과 거시경제에 미치는 영향에 관한 금융·컴퓨터공학 측면의 융·복합 연구,정덕종,포항공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,효율적인 자율주행 모방학습을 위한 크라우드소싱 기반 고위험 예제 시뮬레이션,송진영,대구경북과학기술원,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,점탄성 환경과 상호 작용하는 액티브 입자에 대한 일반 랑제방 동역학 해석학적 연구,DURANG XAVIER,포항공과대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,강유전체 하프니아 기반 슈퍼스팁 스위칭 소자 메커니즘 규명 및 다중 Vth를 이용한 대면적 멀티레벨 로직 회로 구현,황현준,포항공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,멤브레인 비가역적 오염 제어 핵심 파울링 단백질체 탐색,정희정,포항공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,등각 블록을 이용한 게이지/중력 쌍대성 이론에 대한 연구,NISHIDA MITSUHIRO,포항공과대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,3D 프린팅 기법을 이용한 단백질 감지용 분자각인 하이드로겔 개발,양진철,경북대학교,공학단,2021-06-01 ~ 2023-05-31,결과보고서
2023,알츠하이머 병에서 아밀로이드 베타 올리고머로 인한 Parkin과 소포체 스트레스의 역할의 연구,감민경,경북대학교,생명과학단,2021-06-01 ~ 2023-05-31,결과보고서
2023,위상자성체 고압상에서의 거대 홀효과 연구,SUSILO RESTA AGUNG,포항공과대학교,자연과학단,2021-06-01 ~ 2023-05-31,결과보고서
2023,"여성 공감형 생활공간으로서의 도시 공공공간 실현 방안 연구-도시공간에 대한 사회,정서적 기능과 장소,환경적 가치제고",김묘정,경북대학교,공학단,2021-06-01 ~ 2023-05-31,결과보고서
2023,GluN2B 발현제어를 통한 코카인 중독에서 침묵 시냅스의 기능성 규명,김현진,포항공과대학교,생명과학단,2021-06-01 ~ 2023-05-31,결과보고서
2023,신약재창출에 이용되는 당뇨병치료제의 세포사멸기전에 관한 연구,장지훈,영남대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,기계학습을 이용한 광전자 장치용 안정한 페로브스카이트 개발 전략,김보형,포항공과대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,IGF-1 수용체의 편향 활성제를 통한 당뇨병 치료제 개발,윤나오,포항공과대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,다중자극-반응형 생물직교성 나노반응기 촉매 개발,KUMAR AMIT,포항공과대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,단백질 복합체 내부 비정형 단백질 부분의 힘 분광학 관측,차민권,포항공과대학교,자연과학단,2021-06-01 ~ 2023-05-31,결과보고서
2023,Drop-in 앵커리지를 활용한 하이브리드 FRP 앵커의 급속내진보강기법 개발,장준호,계명대학교,공학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,퍼블릭 블록체인 네트워크 모니터링과 분석을 통한 네트워크 성능 개선,주홍택,계명대학교,ICT·융합연구단,2018-06-01 ~ 2023-05-31,결과보고서
2023,유전체 불안정성 조절을 통한 세포독성 항암제 효율 증진 연구,장혜령,한동대학교,생명과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,나노구조를 가진 전극표면에서의 이온성 액체 거동에 관한 이론적 연구,강인석,포항공과대학교,공학단,2017-06-01 ~ 2023-05-31,결과보고서
2023,탄화규소의 접합 및 투명 세라믹스 제조,윤당혁,영남대학교,공학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,유전적 광학 이미징 센서를 이용한 통증억제제의 개발,윤동호,경북대학교,의약학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,병원 환경에서의 다중 행위자 기반 화재 피난-구조 성능평가 모델 개발,권지훈,계명대학교,공학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,3차원 장기 전체 조직병리진단을 위한 자동 연속절편 광음향 현미경 개발,전만식,경북대학교,ICT·융합연구단,2018-06-01 ~ 2023-05-31,결과보고서
2023,저비용/친환경 재료 기반 고온/고출력 반도체 다이 본딩 기술 개발,안성진,금오공과대학교,공학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,소방특화형 Bigdata구축을 통한 소방력 최적배치 시스템 개발,이지수,경일대학교,공학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,시공간 구조를 가지는 다양한 통계적 물리모형 분석을 위한 연구,김용구,경북대학교,자연과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,대규모 재난시 도시공간에서의 피난특성 분석을 통한 국내형 Assembly Point 지정기법 개발,김화영,경일대학교,공학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,멀티오믹스를 활용한 약물의존 네트워크 분석 연구,이수연,계명대학교,의약학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,쉬프 염기(Schiff Base) 리간드를 기반으로 하는 산화-환원 금속착화합물 및 NO-분비 금속착화합물의 개발,이홍인,경북대학교,자연과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,양자장론과 기하학,김희철,포항공과대학교,자연과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,애기장대의 GRF-GIF 전사인자 복합체와 잎 성장 및 암술 발달 조절 전사인자간의 상호작용에 관한 연구,김정회,경북대학교,생명과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,아토초 테라와트 엑스선 자유전자레이저 개발,강흥식,포항공과대학교,자연과학단,2021-03-01 ~ 2023-03-31,결과보고서
2023,고방사성 습식 제염 원천 기반기술 개발,최상준,경북대학교,공학단,2018-07-18 ~ 2023-06-30,결과보고서
2023,PD-L1 억제 및 면역활성 세포사멸의 이중 기능을 가진 펩타이드 암면역치료제 개발,smriti gurung,경북대학교,의약학단,2021-06-01 ~ 2023-05-04,결과보고서
2023,연성 물질을 이용한 다양한 나노/마이크로 구조체 합성 및 응용 분야로의 활용,이희영,금오공과대학교,공학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,제약성분을 포함한 다성분계 상거동과 반용매 결정화,여상도,경북대학교,공학단,2017-06-01 ~ 2023-05-31,결과보고서
2023,행렬해석학의 기본적인 부등식들과 분해들,이은영,경북대학교,자연과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,환경 변화에 강인한 표적 검출 및 식별을 위한 다중표적정보 융합 딥러닝 아키텍처 연구,김성호,영남대학교,ICT·융합연구단,2018-06-01 ~ 2023-05-31,결과보고서
2023,극지세균의 빛에 의한 산화적 스트레스 대응기작 연구,이창우,대구대학교,자연과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,태양 흑점의 남북 비대칭적 분포와 태양 자기장,장헌영,경북대학교,자연과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,활성질소(NO)신호 수용체인산화효소의 리독스기반 단백질변형에 의한 식물생장최적화 연구,윤병욱,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,5G 차량 인터넷을 위한 엣지 네트워크 리소스 관리의 핵심 기술 연구,펑리메이,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,자가응혈기전을 강화하는 분말형 조직점착성 지혈미립자의 개발,권오형,금오공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,폐선암의 병리학적 아형에 따른 종양미세환경과 미생물군집체 분석을 통한 치료 및 예후 예측 바이오마커 발굴,정지윤,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,진행성 방광암의 새로운 치료 타깃으로서 Pyruvate dehydrogenase kinase 4 (PDK4) 유전자의 기전과 예후 인자로서의 가치 탐구,하윤석,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,한국형 마비말장애(Dysarthrias) 감별진단 검사도구 개발 및 임상적 유용성 검증,하지완,대구대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,전기화학적 에너지저장 성능 제고를 위한 MXene 기반 새로운 나노구조체/다원소 금속황화합물 복합체 개발,심재진,영남대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,자료기반 실시간 홍수예측 및 홍수 위험도 평가,김병현,경북대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,버그 리포트 빅데이터 최적 분류에 따른 앙상블 러닝 기반의 자동화된 소프트웨어 버그 해결 기술 연구,서영석,영남대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,GLDC에 의한 대사 reprogramming에 의해 조절되는 항암제 내성 기전 규명,김진영,계명대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,투명한 초소수성 물질이 코팅된 태양전지와 마찰전기 나노발전기로 전천후 자가발전하는 실시간 환경모니터링이 가능한 무선제어형 3D 프린팅 생체모방형 군집 소금쟁이 드론 로봇,김봉환,대구가톨릭대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,협동 로봇의 고난도 정밀 작업 수행을 위한 강건하고 직관적인 손동작 인식 기술,손정우,금오공과대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,대칭공간과 블라쉬케다양체,김영호,경북대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,자성입자 회전패턴 기반의 다중 바이오마커 검출 플랫폼 개발,한영기,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,ZnO 표면 아래 수소 원자의 표면 반응,김창민,경북대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,나노/마이크로 패턴된 전극 표면으로부터 전기중합된 분자각인 고분자 박막을 이용한 단백질 감지용 확장 게이트 전계효과 트랜지스터형 바이오센서 개발,박진영,경북대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,탄소나노소재/그래핀 퀀텀닷/나노실리콘 복합체의 합성·특성 분석 및 리튬이차전지 음극재로의 응용,이창섭,계명대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,동종 및 이종접합을 갖는 눈사람 모양의 나노입자 합성과 응용,손상호,경북대학교,자연과학단,2019-06-01 ~ 2023-05-31,결과보고서
2023,혈류역학 지수 추출을 위한 도플러 초음파 센서 모듈 개발,엄지용,금오공과대학교,ICT·융합연구단,2019-06-01 ~ 2023-05-31,결과보고서
2023,침샘의 기능적 재생을 위한 중요 신호전달체계의 탐색 및 기능분석 연구,정재광,경북대학교,의약학단,2019-06-01 ~ 2023-05-31,결과보고서
2023,메커니즘기반 모델을 이용한 다층복합제형 제조공정 변동성이 품질에 미치는 물리화학적 기전 연구,최두형,대구가톨릭대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,수치 해석법을 이용한 자기소자의 동적손실 해석법 연구,백승훈,계명대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,유방암 doxorubicin 저항성에 있어서 스핑고지질 대사 연관 유전자와 염증조절복합체의 연관성 규명,김신,계명대학교,의약학단,2021-06-01 ~ 2023-05-31,결과보고서
2023,국부 항복 전류를 이용한 선택적인 저항성 접촉 형성 방법 개발,함성호,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,3차원 다공성 나노구조를 이용한 label-free SERS(Surface-enhanced Raman spectroscopy) 기반 화학 및 생체의학센서의 구현,조찬섭,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,엣지 컴퓨팅을 위한 에너지 고효율 어프록시메이트 뉴로모픽 코어 연구,김용태,경북대학교,ICT·융합연구단,2019-06-01 ~ 2023-05-31,결과보고서
2023,뇌의 계산모델에 기초한 상지재활 중 운동-감각 협응기능의 정량적 평가시스템 개발,김재효,한동대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,유도모터의 온라인 턴쇼트 고장모델 및 턴쇼트 고장진단알고리즘 개발,구본관,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,드론의 열화상 동영상을 이용한 조난자 수색과 인식,염석원,대구대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,DYT1 dystonia 유래 유도만능줄기세포에서 분화된 비정상 도파민신경세포에 대한 치료법 모델 연구,송창현,대구한의대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,저전력 스마트 웨어러블 디바이스를 위한 Hybrid CMOS 내장회로 개발,정훈주,금오공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,이산화 티타늄 박막 연구,박영춘,한동대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,초미세먼지 중 함유 나노금속(화합물)의 접촉성 알레르기성 피부염 유발관련 대체시험법을 활용한 안전성 평가,허용,대구가톨릭대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,음악 정보 분석 기반의 음악을 이해하는 인공지능과 개인형 악기 튜터 응용에 대한 연구,이석진,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,"수자원환경, 환경공정에서의 미세입자 이군집 응집 기작 및 동역학 연구와 3차원 미세입자-응집체 거동 예측 모델 개발",이병준,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,근육-갈색지방-장내미생물 간 총체적 연계성 분석을 통한 근감소성 비만 제어용 천연물 소재의 효능평가,권은영,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,피리딘을 포함하는 공액구조 고분자를 기반으로 하는 고분자 신소재,제갈영순,경일대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,암모니아 및 미세먼지 제거용 초소형 바이오필터 개발,이상훈,계명대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,후성유전체분석기반 미세먼지 유발 폐암발생 기전 및 생체지표 발굴 연구,김동선,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,새로운 사일롤 유도체 합성 및 전기화학적 특성,박영태,계명대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,고위험 신생아 간호 실습교육 향상을 위한 서비스 디자인,구현영,대구가톨릭대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,조기아동기 건강불평등이 학령기 및 청소년기 건강에 미치는 영향을 줄이기 위한 정책적 개입 시기 추정 연구,박진욱,계명대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,차세대 에지 머신러닝을 위한 무선 통신 기술 개발,강재모,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,자동차용 센서 판독 집적회로를 위한 고해상도 저전력 CMOS 아날로그-디지털 변환기의 개발,장영찬,금오공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,과불소기를 포함한 키랄 유기 화합물의 비대칭 합성법 개발,조창우,경북대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,3차원 자기 공명 전력 전송 기술을 이용한 뇌 이식 기기의 무선 충전 및 위치 추적 시스템,최준림,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,TBM터널공사 중 실시간 기계데이터 모니터링 시스템의 개발,문준식,경북대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,지질대사 연구를 통한 폐암-특이 바이오마커 발굴,도숙경,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,흑색종 세포에서 히스타민 H1 수용체의 역할 규명을 통한 항암제 효능 개선 전략,천경수,계명대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,뇌 영상 기반 비알츠하이머성 치매 질환 진단을 위한 그래프 기반 심층 신경망 기술 및 모델 독립적 분석 기술의 개발,김재일,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,자궁근종 성장조절인자 기능 규명 및 증식억제기술 개발,신소진,계명대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,벼의 철분 결핍 스트레스 저항성에서 Mg-chelatase H subunit의 기능 규명,정선요,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,4D 프린팅을 활용하여 환경에 스스로 변화하는 스마트 스포츠웨어 개발,이희란,금오공과대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,된장 고유 미생물의 Aflatoxin B1 분해기전과 아플라톡신 생산 유전자 조절에 관한 연구,바후구나아슈토쓰,영남대학교,생명과학단,2021-06-01 ~ 2023-04-10,결과보고서
2023,대사성 질환에서 증가된 암 유발 유전자 (KRAS)에 의한 metabolic rewiring 기전 연구; non-canonical pyruvate dehydrogenase kinase(PDK)의 역할,THOUDAM THEMIS,경북대학교,의약학단,2022-03-01 ~ 2023-05-01,결과보고서
2023,효소를 이용한 맞춤형 triacylglycerol 합성 및 in vitro digestion 과 absorption 이 coupling 된 model을 이용한 소화/흡수 특성 평가,이정희,대구대학교,생명과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,"태양전지 특성 향상용 3 in 1 (집광, 전하수집, 기계적 보호) 필름 개발",김종복,금오공과대학교,공학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,원격 임베디드 소프트웨어 관리를 위한 개방형 플랫폼 개발,정민우,경북대학교,ICT·융합연구단,2018-06-01 ~ 2023-05-31,결과보고서
2023,철근배근 정합성 및 콘크리트 균열 자동검측을 위한 컴퓨터비전 인공지능 시스템,박영준,경북대학교,공학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,"초다양체, 일반화된 복소다양체, 그리고 열 다양체",김호일,경북대학교,자연과학단,2018-06-01 ~ 2023-05-31,결과보고서
2023,태양전지용 무기 정공전도층 탐색 연구,김성연,대구경북과학기술원,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,DNA 자기조립을 응용한 다이아몬드 광결정의 제조 및 응용 연구,이기라,포항공과대학교,공학단,2017-10-02 ~ 2023-06-30,결과보고서
2023,생체 유래 나노 입자 분석 기술을 활용한 eVLP 백신 플랫폼 개발,한충민,포항공과대학교,ICT·융합연구단,2021-06-01 ~ 2023-08-16,결과보고서
2023,양성자 수송 터널 조절에 의한 초고속 시냅스 소자,최송희,대구경북과학기술원,자연과학단,2022-06-01 ~ 2023-08-18,결과보고서
2023,사건유발전위(ERP)와 sLORETA를 이용한 말 산출 메커니즘 규명 및 평가 모델 개발,오다희,대구대학교,ICT·융합연구단,2022-06-01 ~ 2023-08-18,결과보고서
2023,청정기술연구소,심재진,영남대학교,공학단,2014-09-01 ~ 2023-08-31,결과보고서
2023,마우스 골격계 표현형분석을 통한 골질환 진단 및 골격계 질환 분석,최제용,경북대학교,,2014-12-26 ~ 2023-11-19,결과보고서
2023,증강/가상현실 구현을 위한 메타표면 기반 평면 렌즈 및 복소 홀로그램,노준석,포항공과대학교,,2014-09-01 ~ 2023-08-31,결과보고서
2023,3D 바이오프린팅 및 유도만능 줄기세포 기반의 혈역학적 환경을 구현하는 바이오 인공 심장 펌프 모듈 개발,황동규,포항공과대학교,,2019-03-01 ~ 2023-08-31,결과보고서
2023,방사선 치료 중 실시간 선량 측정을 위한 방사선 유도 초음파 영상 시스템 개발,최성욱,포항공과대학교,,2019-03-01 ~ 2023-08-31,결과보고서
2023,초거대 이중고리형 화합물 라이브러리를 이용한 신약후보물질 발굴,왕희명,포항공과대학교,,2019-03-01 ~ 2023-08-31,결과보고서
2023,고방사성 습식 제염 원천 기반기술 개발,최상준,경북대학교,공학단,2018-07-18 ~ 2023-06-30,결과보고서
2023,나노셀룰로오스 수화젤을 이용한 지능형 표시재 기초연구,박병대,경북대학교,,2021-07-01 ~ 2023-02-16,결과보고서
2023,인간 자기감각의 래디칼짝 기전 규명 및 의사결정 기능 탐색,채권석,경북대학교,생명과학단,2021-09-01 ~ 2023-08-21,결과보고서
2023,DNA 자기조립을 응용한 다이아몬드 광결정의 제조 및 응용 연구,이기라,포항공과대학교,공학단,2017-10-02 ~ 2023-06-30,결과보고서
2023,손상연관분자유형(DMAPs) 신호가 근육세포의 재생에 미치는 메커니즘 구명 및 유전자 제어를 통한 근육 재생 촉진 기술 연구,박정웅,경북대학교,생명과학단,2022-06-01 ~ 2023-08-01,결과보고서
2023,조립 작업 셀의 신속 설계를 위한 조립 장치의 3D 모델 자동 생성 기법 연구,박진우,포항공과대학교,공학단,2021-06-01 ~ 2023-08-31,결과보고서
2023,제브라피쉬 단일 배아의 프로테오믹스 분석법 개발 및 화학물질 유해성 평가,성은지,경북대학교,의약학단,2022-06-01 ~ 2023-08-17,결과보고서
2023,위절제술에 의한 생명연장(longevity) 및 항노화(anti-aging) 효과 규명 및 탐색,김미경,계명대학교,의약학단,2022-06-01 ~ 2023-08-22,결과보고서
2023,세포소기관별 표적 지질 대사체학 기반 지질 바이오마커 발굴,박소영,경북대학교,의약학단,2022-06-01 ~ 2023-08-17,결과보고서
